ID;rem;alt;slo;rain;coast;land;pres
1;5,76706;67;9,99194;6395,87354;0,00657;2;0
2;5,77885;49;10,27684;6397,93799;0,00471;2;0
3;5,79152;32;7,63426;6400,896;0,00287;2;0
4;5,80387;23;7,42965;6403,82227;0,00108;2;0
5;5,82159;53;12,27207;6455,54297;0,00231;2;0
6;5,26972;243;11,2225;6901,88037;0,00443;2;0
7;5,31156;244;9,96433;6880,0459;0,00433;2;0
8;5,44299;307;10,46644;6845,37256;0,00445;2;0
9;5,51808;356;12,76262;6815,33105;0,00374;2;0
10;5,61049;380;4,11782;6786,29053;0,00427;2;0
11;5,81215;112;12,00521;6471,21631;0,0075;2;0
12;5,7774;137;14,78705;6443,4292;0,00959;2;0
13;5,77569;174;20,15197;6442,45215;0,01144;2;0
14;5,72809;178;16,69196;6406,53076;0,01289;2;0
15;5,74134;200;17,50928;6455,02002;0,01407;2;0
16;5,05247;48;6,88012;6945,40723;0,01195;2;0
17;5,09919;48;7,59134;6921,49121;0,01096;2;0
18;5,18665;69;13,14495;6895,72217;0,01018;2;0
19;5,27003;79;13,70376;6876,5166;0,01111;2;0
20;5,29633;65;1,27455;6874,5835;0,01281;2;0
21;4,58281;141;17,98686;7000;0,00578;1;0
22;4,5645;200;20,04742;7000;0,00758;1;0
23;4,56884;231;7,70726;7000;0,0094;1;0
24;4,58226;233;8,68316;7000;0,01101;1;0
25;4,46706;217;4,93456;7000;0,00989;1;0
26;5,83298;371;10,94779;6743,03906;0,0324;1;0
27;5,86136;320;22,22207;6708,03516;0,03088;1;0
28;5,85741;272;25,00945;6712,41064;0,0291;1;0
29;5,83668;241;22,92853;6735,48145;0,02724;1;0
30;5,79107;240;19,47997;6760,54102;0,02629;1;0
31;5,74741;236;15,28233;6782,41846;0,02545;1;0
32;5,7456;220;21,96084;6768,09863;0,02378;1;0
33;5,71571;362;34,6991;6831,34424;0,02804;1;0
34;5,69245;478;14,90761;6858,39307;0,02978;1;0
35;5,66298;446;15,15962;6897,77246;0,03123;1;0
36;4,365;260;12,54333;6994,0332;0,01864;2;0
37;4,39561;255;6,46511;7000;0,02034;2;0
38;4,36862;219;6,23559;6996,02246;0,01737;2;0
39;4,45787;236;17,58366;7000;0,01706;1;0
40;4,49999;268;11,1982;7000;0,01889;2;0
41;4,29372;239;4,29824;6978,91797;0,01696;2;0
42;4,28865;210;3,614;6992,33887;0,01423;2;0
43;4,18522;194;6,06726;6974,31641;0,01192;2;0
44;4,1045;166;19,28579;6951,72119;0,01087;2;0
45;3,95776;120;28,44854;6929,55908;0,00914;2;0
46;4,25186;296;7,83328;6978,91797;0,02161;2;0
47;4,26681;279;6,83224;6972,95166;0,01975;2;0
48;4,29751;254;6,81162;6976,13379;0,01833;2;0
49;4,14476;177;32,20649;6949,48291;0,01971;2;0
50;3,97892;128;29,63448;6912,8877;0,018;1;0
51;3,13769;169;23,06006;6706,89648;0,0124;2;0
52;3,01383;190;18,31084;6675,71045;0,01083;2;0
53;2,99876;173;18,23565;6670,02734;0,01038;2;0
54;3,15501;153;11,94873;6680,76904;0,01059;2;0
55;3,34804;88;22,14833;6706,5542;0,00926;2;0
56;3,29914;167;28,92136;6758,55225;0,01745;2;0
57;3,26016;166;25,10601;6766,90527;0,01652;2;0
58;3,30942;133;29,5545;6772,07617;0,01608;2;0
59;3,33713;154;28,82043;6756,57373;0,01498;2;0
60;3,17187;193;23,46622;6720,33887;0,01325;2;0
61;5,63153;736;11,67358;6896,5791;0,05897;1;0
62;5,68036;798;23,02853;6876,69043;0,05794;1;0
63;5,61697;714;19,36205;6919,25195;0,05711;1;0
64;5,56861;682;7,97475;6949,08496;0,05555;1;0
65;5,55929;660;19,47158;6975,33789;0,05401;1;0
66;4,97559;361;8,06186;7000;0,03451;2;0
67;4,85171;321;5,48787;7000;0,03266;2;0
68;4,75824;344;12,6181;7000;0,03151;2;0
69;4,55827;351;2,54785;7000;0,0292;2;0
70;4,52527;313;28,40562;6998,01123;0,02833;2;0
71;3,78906;317;14,62948;6852,02881;0,02846;2;0
72;3,62764;307;13,11444;6822,1958;0,02717;2;0
73;3,47582;159;16,11305;6805,48926;0,0233;2;0
74;3,75413;145;24,96677;6833,3335;0,02514;2;0
75;3,88575;145;33,77517;6865,55273;0,02609;2;0
76;4,12428;386;15,97101;6838,90234;0,03535;2;0
77;4,0086;373;3,81862;6834,92432;0,03357;2;0
78;3,97146;368;5,92588;6824,97998;0,03239;2;0
79;3,86336;359;4,28718;6838,10645;0,03063;2;0
80;3,78508;340;5,462;6846,06201;0,02952;2;0
81;3,39913;297;17,37156;6781,62305;0,02419;2;0
82;3,29758;197;19,34729;6771,67871;0,02247;2;0
83;3,11094;147;5,25032;6761,73438;0,02079;2;0
84;3,22724;150;16,20333;6767,30322;0,01982;2;0
85;3,37118;148;27,58979;6772,87207;0,01896;2;0
86;3,34727;315;11,48207;6772,87207;0,0259;2;0
87;3,40932;300;15,32205;6766,10986;0,02711;2;0
88;3,08831;269;21,23404;6738,66357;0,02475;2;0
89;3,15363;263;17,17338;6731,10596;0,026;2;0
90;2,99966;232;8,4668;6696,89746;0,02747;2;0
91;1,24154;59;2,18514;6308,20703;0,0091;2;0
92;0,81154;62;1,8544;6289,45117;0,01159;2;0
93;0;71;2,79748;6300,74854;0,01334;2;0
94;0;78;2,18514;6289,25977;0,01494;2;0
95;0;88;4,5864;6325,77588;0,0169;2;0
96;1,09926;155;26,79735;5564,60889;0,01346;2;0
97;1,16229;199;29,36644;5631,38086;0,01309;2;0
98;1,16813;189;24,99765;5705,1709;0,01281;2;0
99;1,12076;200;20,12186;5785,12061;0,01274;2;0
100;0;179;17,52612;5861,9707;0,01369;2;0
101;2,08878;213;22,90837;5693,71533;0,02274;2;0
102;2,22174;268;32,04835;5792,36279;0,02117;1;0
103;2,23433;278;23,25135;5882,25928;0,0205;1;0
104;0;136;19,3684;5556,88135;0,01843;2;0
105;0;157;16,31144;5615,75195;0,01953;2;0
106;0;105;15,04724;5330,28271;0,0125;2;0
107;0;37;3,95309;5285,96191;0,01076;2;0
108;0;66;14,92803;5373,88965;0,00993;2;0
109;0;70;17,77371;5426,83984;0,01079;2;0
110;0;89;14,28051;5478,08105;0,0127;2;0
111;0;133;26,05437;5502,78418;0,01714;2;0
112;0;93;19,65493;5487,62988;0,01532;2;0
113;0;115;19,79717;5425,71875;0,01503;2;0
114;0;86;21,4783;5383,16992;0,01324;2;0
115;1,35873;162;15,76739;5411,29688;0,01668;2;0
116;5,74171;853;7,83329;6440,33398;0,07684;1;0
117;5,78625;844;30,80522;6415,27441;0,07624;1;0
118;5,80127;911;31,73925;6373,5083;0,0765;1;0
119;5,84013;891;50,06751;6312,25146;0,07695;1;0
120;5,87668;942;63,90189;6285,20264;0,07647;1;0
121;5,56291;588;19,79721;6875,09961;0,06448;1;0
122;5,59366;602;19,26248;6861,97314;0,06442;1;0
123;5,6056;658;11,97134;6869,92822;0,06329;1;0
124;5,6082;635;5,23229;6875,09961;0,06219;1;0
125;5,63038;672;13,25622;6891,4082;0,06073;1;0
126;4,9909;510;15,45731;6915,27441;0,05124;2;0
127;4,90779;474;6,19014;6945,90283;0,04891;2;0
128;4,84333;465;5,55626;6938,34521;0,04712;2;0
129;4,80283;465;2,18514;6926,81006;0,04535;2;0
130;4,79057;459;3,22448;6931,18555;0,04359;2;0
131;4,58365;466;6,07502;6898,17041;0,03946;2;0
132;4,33519;439;8,78395;6856,4043;0,03771;2;0
133;4,37487;417;17,8114;6843,27783;0,03893;2;0
134;4,57462;442;12,89496;6850,83545;0,04011;2;0
135;4,64286;440;24,03321;6842,48193;0,04254;2;0
136;3,80465;348;12,35959;6690,93066;0,05198;2;0
137;4,09111;354;12,61807;6714,79736;0,05057;2;0
138;4,36304;360;15,81656;6737,86816;0,04918;2;0
139;4,80451;378;21,877;6749,40332;0,04734;2;0
140;4,66219;355;13,18552;6737,07227;0,04572;2;0
141;3,82022;329;14,2528;6558,47266;0,03801;2;0
142;3,42691;264;7,99226;6554,09717;0,03615;2;0
143;3,25139;267;4,1178;6538,18604;0,03506;2;0
144;2,96881;227;15,38986;6530,23047;0,0332;2;0
145;2,83372;186;11,30706;6461,41602;0,03418;2;0
146;3,92576;370;1,95464;6637,23145;0,04205;2;0
147;3,74202;369;5,25032;6570,80371;0,04097;2;0
148;3,76454;362;7,10128;6535,79932;0,03954;2;0
149;3,43654;358;16,28777;6489,26025;0,04079;2;0
150;3,35428;376;7,40443;6464,99609;0,0412;2;0
151;2,42545;156;7,77352;6410,89893;0,03368;2;0
152;2,11318;140;10,84749;6426,81006;0,03208;2;0
153;1,20609;114;5,08565;6449,48291;0,0297;2;0
154;0,82146;119;2,41331;6397,77246;0,02922;2;0
155;1,33946;127;6,77017;6359,58643;0,0305;2;0
156;3,04982;246;20,42982;6189,33984;0,03188;2;1
157;3,08094;277;5,13193;6187,74854;0,0319;2;1
158;3,07363;290;14,9776;6184,16846;0,03204;2;1
159;3,05514;266;8,91473;6179,79297;0,03224;2;0
160;3,1529;249;2,8481;6174,62207;0,03253;2;1
161;2,53317;198;14,34193;6202,06836;0,02913;2;0
162;2,80601;213;11,89959;6141,20898;0,02872;2;1
163;2,90055;214;14,45168;6035,40186;0,02806;2;1
164;2,94826;200;16,42387;5958,63184;0,02765;2;1
165;3,1138;220;7,96891;5894,98828;0,02912;2;1
166;3,16843;239;3,04216;6092,68115;0,03111;2;0
167;3,09337;243;4,5864;5992,84033;0,02876;2;0
168;3,09233;245;6,09822;5941,12988;0,02759;2;0
169;3,05571;241;4,11781;5849,24414;0,02578;2;0
170;3,0761;249;4,94415;5732,29932;0,02397;2;0
171;2,80133;245;9,81574;5771,67871;0,02622;2;0
172;2,79812;266;10,10147;5793,9541;0,02456;2;0
173;2,61774;256;14,99796;5692,52197;0,0261;2;0
174;2,81826;336;24,13275;5594,66992;0,02739;2;0
175;2,85892;379;10,024;5511,1377;0,02595;2;0
176;3,11035;254;10,60948;5656,32471;0,02283;2;0
177;3,14165;266;14,64142;5595,46533;0,02235;2;0
178;3,11174;257;15,38421;5487,66895;0,02085;2;0
179;3,28116;304;20,98013;5451,07422;0,01883;2;0
180;3,35088;322;18,23565;5425,6167;0,01756;2;0
181;2,65819;346;15,57722;5417,66113;0,02529;2;0
182;2,92357;359;15,90349;5361,17725;0,0246;2;0
183;2,99783;314;13,33641;5277,64502;0,02338;2;0
184;2,84414;315;8,94065;5213,20605;0,02358;2;0
185;2,68459;313;8,4887;5077,96338;0,02372;2;0
186;3,22183;343;20,87738;5201,43311;0,01546;2;0
187;3,06774;351;11,854;5132,96191;0,0156;2;0
188;2,87795;327;6,74934;4996,80762;0,01488;2;0
189;2,78328;293;24,66353;4890,99902;0,01293;2;0
190;2,69447;312;9,05881;4947,49414;0,01618;2;0
191;4,84685;339;38,9281;6572,39453;0,06891;1;1
192;4,86138;408;17,63141;6625,29834;0,06917;1;0
193;4,9663;459;14,64143;6696,89746;0,06776;1;0
194;5,06694;445;38,95616;6734,28809;0,06715;1;1
